Place.of.residence,far_right_rate,right_leaning_rate,left_leaning_rate,enterprise_birth_rate,enterprise_death_rate,income,unemployment_rate,marital_rate,foreign_born_rate,religious_ppl_rate,crime_rate,daily_activity_limit_rate,long_term_illness_rate,university_rate,female_rate,population_density
Antsla rural municipality,0.2727272727272727,0.5004500450045004,0.19036903690369036,1.2,22.1,1285,0.03142857142857143,0.31414473684210525,0.052344860255802934,0.2,3.8095238095238096e-4,0.3412322274881517,0.3862559241706161,0.1387061403508772,0.5118427285646613,10.2
Võru rural municipality,0.2814938684503902,0.4459308807134894,0.2562244518766258,1.3,20.6,1321,0.03258145363408521,0.33477913480196325,0.06723256486929681,0.2522831050228311,2.3134759976865238e-4,0.35872709739633557,0.3789778206364513,0.16756078073279307,0.5043889264010804,10.9
Lääne-Nigula rural municipality,0.23588490770901194,0.5184581976112921,0.23669923995656894,0.6,21.6,1382,0.027294928889527368,0.33524904214559387,0.07504414361389053,0.19686411149825783,6.03361585979026e-4,0.29411764705882354,0.34558823529411764,0.16509926854754442,0.4951442024720424,4.8
Saue rural municipality,0.1312504671500112,0.7150011211600269,0.13633305927199343,0.1,23.3,1931,0.029877808435159636,0.38361425218689993,0.09522624528223632,0.17706666666666668,0.0016081986598344502,0.21899626710908338,0.2372459560348403,0.3285683806272669,0.5057442661026088,40.4
Märjamaa rural municipality,0.2525879917184265,0.5393374741200828,0.18711180124223603,0.3,15.6,1379,0.031465226198514516,0.3209464824519613,0.051031487513572206,0.17936507936507937,0.001350438892640108,0.3093622795115332,0.35278154681139756,0.15404160711449896,0.5069218241042345,6.4
Mustvee rural municipality,0.1950735001986492,0.47000397298371077,0.22884386174016685,1,18.7,1187,0.03574313408723748,0.39561185252205383,0.12083500602167804,0.37104072398190047,3.634894991922456e-4,0.39156626506024095,0.40562248995983935,0.13300158335218276,0.5088317944600562,8
Vinni rural municipality,0.24096745297103614,0.5070170200059719,0.24126604956703493,1,17.8,1340,0.0302263251935676,0.3296762589928058,0.07751010025437678,0.1510791366906475,5.360333531864204e-4,0.3158682634730539,0.3592814371257485,0.1618705035971223,0.5071075864132875,6.6
Põltsamaa rural municipality,0.21770985974460957,0.5733724094620054,0.2009629474565627,0.5,23.4,1379,0.031350232798758405,0.31052822434425237,0.06511867905056759,0.18137847642079807,5.587170201758923e-4,0.3364293085655315,0.39009287925696595,0.15218179620452074,0.5171310629514964,10.9
Põlva rural municipality,0.2546566187970994,0.47988056305986065,0.253092563628608,0.3,19.7,1345,0.03354514555933205,0.3295184435249582,0.056140350877192984,0.18045774647887325,2.0688636027781882e-4,0.39477611940298507,0.40223880597014927,0.18487542917510344,0.5139977603583427,19.2
Kambja rural municipality,0.14592776721742945,0.6976166106155871,0.14373446410293902,0.1,22.8,1732,0.024735497993433053,0.3926669397787792,0.06019598693420439,0.11372950819672131,4.0860999635169645e-4,0.23561430793157076,0.24727838258164853,0.3401269971323228,0.5053663089127391,49.8
Jõgeva rural municipality,0.21062243189773247,0.5708415766245625,0.20316542383198904,0.5,20,1376,0.029340039628105472,0.3190222222222222,0.08213256484149856,0.16,4.11522633744856e-4,0.34495830174374525,0.41015921152388174,0.17644444444444443,0.5263916274836948,12.6
Väike-Maarja rural municipality,0.2322015334063527,0.5330412559328221,0.22562979189485213,0.3,19.3,1320,0.029188041747744562,0.3355690630894991,0.07309322033898305,0.12368972746331237,7.78347779939855e-4,0.3215547703180212,0.36042402826855124,0.1437853699434081,0.5097104519774012,8.3
Paide city,0.22198892918495897,0.5375071578545524,0.22886046955525863,0.3,19.2,1475,0.033945986496624156,0.3315272604131392,0.10058434715968963,0.17042889390519186,0.001369092273068267,0.28448275862068967,0.3457854406130268,0.1750761937013207,0.5278283360475141,24.1
Järva rural municipality,0.2556266287609571,0.4773750296138356,0.25396825396825395,0.8,18.2,1394,0.029684813753581663,0.32110218775962335,0.06753938832252085,0.1371191135734072,5.04297994269341e-4,0.28968713789107764,0.3429895712630359,0.13500415397396842,0.506371640407785,7.1
Tapa rural municipality,0.19111111111111112,0.5644444444444444,0.21802469135802469,0.2,19,1296,0.04006497022198159,0.3300699300699301,0.25208696449866985,0.23225806451612904,2.346146904890814e-4,0.3,0.3587155963302752,0.14846691769768694,0.5292175029813778,23.1
Anija rural municipality,0.14584891548242335,0.5471204188481675,0.2715033657442034,0.5,19.2,1480,0.031288723667905825,0.3683209735691196,0.2799425103800703,0.24334600760456274,8.364312267657992e-4,0.22843450479233227,0.28594249201277955,0.19281232173416998,0.5159693388693708,12.1
Kohila rural municipality,0.19046343423519957,0.645593356549692,0.1392981516206804,0.8,18.9,1648,0.028993010613512813,0.36085728526333277,0.13182724252491695,0.19102990033222592,7.76598498576236e-4,0.2350597609561753,0.24833997343957503,0.21265991028410036,0.5024584717607974,33.6
Saku rural municipality,0.12720623310542217,0.7190332326283988,0.13897280966767372,0.6,19.8,1966,0.03049522154648132,0.39352340725096796,0.08026543041541678,0.19131455399061034,0.0016681146828844483,0.18181818181818182,0.23272727272727273,0.3475302123665376,0.5012271611671666,67.7
Tallinn,0.09974540582951265,0.5263214077936773,0.32760451971370164,5.3,25.4,1828,0.038390354819946064,0.36476490117461186,0.4057311616497304,0.35566534556707746,0.011002855480937022,0.22509250376867207,0.2786533278516285,0.38345770772876697,0.5316399317523075,2847.3
